datetime,day of week,total,place,product_names,quantities_product,Order status,location
2023-07-11 15:35:00,Thur,23800.0,Dongmyeon,"['angbutter', 'americano', 'tiramisu croissant', 'vanilla latte']","[1.0, 1.0, 3.0, 1.0]",Completed,"(37.563155050375265, 126.97695351319291)"
2023-07-11 16:10:00,Thur,15800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'orange pound']","[1.0, 1.0, 1.0]",Completed,"(37.55662640223906, 126.98183879400895)"
2023-07-12 11:49:00,Fri,58000.0,Dongmyeon,['tiramisu croissant'],[14.0],Completed,"(37.56744355561348, 126.98785832307395)"
2023-07-13 13:19:00,Sat,14800.0,Dongmyeon,"['angbutter', 'plain bread', 'vanilla latte']","[1.0, 1.0, 1.0]",Completed,"(37.57377476241262, 126.98148528507458)"
2023-07-13 13:22:00,Sat,15600.0,Dongmyeon,"['angbutter', 'tiramisu croissant']","[2.0, 1.0]",Completed,"(37.571136290361515, 126.98662602238453)"
2023-07-13 14:54:00,Sat,15800.0,Dongmyeon,"['angbutter', 'milk tea', 'vanilla latte']","[1.0, 1.0, 1.0]",Completed,"(37.56824802522724, 126.97631598559403)"
2023-07-13 15:08:00,Sat,15800.0,Dongmyeon,"['angbutter', 'orange pound', 'vanilla latte']","[1.0, 1.0, 1.0]",Completed,"(37.57030053896735, 126.97787667533862)"
2023-07-13 15:09:00,Sat,14000.0,Dongmyeon,"['tiramisu croissant', 'cacao deep']","[2.0, 1.0]",Completed,"(37.56599764200196, 126.979105044224)"
2023-07-13 15:23:00,Sat,19100.0,Dongmyeon,"['angbutter', 'plain bread', 'tiramisu croissant']","[2.0, 1.0, 1.0]",Completed,"(37.57545022643441, 126.9844820498628)"
2023-07-13 16:32:00,Sat,22300.0,Dongmyeon,"['angbutter', 'plain bread', 'tiramisu croissant', 'cacao deep']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.575295721136825, 126.97780004205329)"
2023-07-14 11:08:00,Sun,15300.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'vanilla latte']","[1.0, 1.0, 1.0]",Completed,"(37.56237485310016, 126.98185226408293)"
2023-07-14 11:15:00,Sun,27600.0,Dongmyeon,"['angbutter', 'americano', 'tiramisu croissant']","[2.0, 3.0, 1.0]",Completed,"(37.55739889699265, 126.98497999933946)"
2023-07-14 11:44:00,Sun,26300.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'cacao deep', 'vanilla latte']","[1.0, 2.0, 2.0, 1.0]",Completed,"(37.56883257365373, 126.98405771699494)"
2023-07-14 11:59:00,Sun,19800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'orange pound', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.56811602351968, 126.97831870897491)"
2023-07-14 12:59:00,Sun,18300.0,Dongmyeon,"['angbutter', 'cacao deep', 'orange pound']","[1.0, 1.0, 1.0]",Completed,"(37.57152802257326, 126.97077709762073)"
2023-07-14 13:05:00,Sun,15600.0,Dongmyeon,"['angbutter', 'tiramisu croissant']","[2.0, 1.0]",Completed,"(37.563040792345745, 126.97218320269965)"
2023-07-14 14:06:00,Sun,23600.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'cacao deep', 'orange pound']","[2.0, 1.0, 1.0, 1.0]",Completed,"(37.557055832405766, 126.97582419452537)"
2023-07-14 14:41:00,Sun,20100.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'vanilla latte']","[2.0, 1.0, 1.0]",Completed,"(37.558470658166776, 126.96896124640243)"
2023-07-14 14:51:00,Sun,25600.0,Dongmyeon,"['angbutter', 'jam', 'caffe latte', 'orange pound']","[2.0, 1.0, 1.0, 1.0]",Completed,"(37.561429706166166, 126.98753114707593)"
2023-07-14 15:02:00,Sun,19800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'orange pound', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.56394920189838, 126.97212816111409)"
2023-07-15 11:45:00,Mon,15100.0,Dongmyeon,"['angbutter', 'cacao deep']","[2.0, 1.0]",Completed,"(37.5723261472748, 126.98330678602989)"
2023-07-15 16:21:00,Mon,15800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'lemon ade']","[1.0, 1.0, 1.0]",Completed,"(37.56479899262562, 126.97431033864825)"
2023-07-17 11:47:00,Wed,17800.0,Dongmyeon,"['angbutter', 'plain bread', 'tiramisu croissant']","[1.0, 1.0, 1.0]",Completed,"(37.5642687502981, 126.97265394552194)"
2023-07-17 13:23:00,Wed,14800.0,Dongmyeon,"['angbutter', 'croissant', 'pain au chocolat']","[3.0, 1.0, 1.0]",Completed,"(37.559439098940736, 126.97154155019675)"
2023-07-17 14:16:00,Wed,23400.0,Dongmyeon,"['angbutter', 'jam', 'gateau chocolat', 'orange pound']","[1.0, 2.0, 1.0, 1.0]",Completed,"(37.55748645753901, 126.97451485661034)"
2023-07-17 16:32:00,Wed,18100.0,Dongmyeon,"['angbutter', 'plain bread', 'berry ade']","[1.0, 1.0, 1.0]",Completed,"(37.57288181699004, 126.98282277850669)"
2023-07-19 11:43:00,Fri,14800.0,Dongmyeon,"['angbutter', 'croissant', 'tiramisu croissant', 'pain au chocolat']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.57495802090125, 126.97536202469283)"
2023-07-19 12:11:00,Fri,15800.0,Dongmyeon,"['angbutter', 'orange pound', 'berry ade']","[1.0, 1.0, 1.0]",Completed,"(37.5647131677667, 126.98201120399949)"
2023-07-19 12:36:00,Fri,21800.0,Dongmyeon,"['angbutter', 'croissant', 'tiramisu croissant', 'pain au chocolat']","[1.0, 1.0, 2.0, 1.0]",Completed,"(37.57112361099767, 126.97259261436845)"
2023-07-19 12:44:00,Fri,20600.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'orange pound']","[2.0, 1.0, 1.0]",Completed,"(37.56414454458802, 126.97325852355308)"
2023-07-19 13:35:00,Fri,14800.0,Dongmyeon,"['angbutter', 'croissant', 'tiramisu croissant']","[1.0, 1.0, 1.0]",Completed,"(37.562599527625665, 126.97664718694298)"
