Name,price,Drinks,Pastry,Desserts,Other Foods
angbutter,4800,N,Y,N,N
plain bread,3500,N,Y,N,N
jam,1500,N,N,N,Y
americano,4000,Y,N,N,N
croissant,3500,N,Y,N,N
caffe latte,4500,Y,N,N,N
tiramisu croissant,4800,N,Y,N,N
cacao deep,4000,N,N,N,Y
pain au chocolat,3500,N,Y,N,N
almond croissant,4000,N,Y,N,N
milk tea,4500,Y,N,N,N
gateau chocolat,4000,N,N,Y,N
pandoro,4500,N,Y,N,N
cheese cake,5000,N,N,Y,N
lemon ade,4500,Y,N,N,N
orange pound,4500,N,N,Y,N
wiener,2500,N,N,N,Y
vanilla latte,4500,Y,N,N,N
berry ade,4500,Y,N,N,N
tiramisu,4500,N,N,Y,N
merinque cookies,4000,N,N,Y,N
