datetime,day of week,total,place,product_names,quantities_product,Order status
2023-07-11 15:35:00,Thur,23800.0,Dongmyeon,"['angbutter', 'americano', 'tiramisu croissant', 'vanilla latte']","[1.0, 1.0, 3.0, 1.0]",Completed
2023-07-11 16:10:00,Thur,15800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'orange pound']","[1.0, 1.0, 1.0]",Completed
2023-07-12 11:49:00,Fri,58000.0,Dongmyeon,['tiramisu croissant'],[14.0],Completed
2023-07-13 13:19:00,Sat,14800.0,Dongmyeon,"['angbutter', 'plain bread', 'vanilla latte']","[1.0, 1.0, 1.0]",Completed
2023-07-13 13:22:00,Sat,15600.0,Dongmyeon,"['angbutter', 'tiramisu croissant']","[2.0, 1.0]",Completed
2023-07-13 14:54:00,Sat,15800.0,Dongmyeon,"['angbutter', 'milk tea', 'vanilla latte']","[1.0, 1.0, 1.0]",Completed
2023-07-13 15:08:00,Sat,15800.0,Dongmyeon,"['angbutter', 'orange pound', 'vanilla latte']","[1.0, 1.0, 1.0]",Completed
2023-07-13 15:09:00,Sat,14000.0,Dongmyeon,"['tiramisu croissant', 'cacao deep']","[2.0, 1.0]",Completed
2023-07-13 15:23:00,Sat,19100.0,Dongmyeon,"['angbutter', 'plain bread', 'tiramisu croissant']","[2.0, 1.0, 1.0]",Completed
2023-07-13 16:32:00,Sat,22300.0,Dongmyeon,"['angbutter', 'plain bread', 'tiramisu croissant', 'cacao deep']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-14 11:08:00,Sun,15300.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'vanilla latte']","[1.0, 1.0, 1.0]",Completed
2023-07-14 11:15:00,Sun,27600.0,Dongmyeon,"['angbutter', 'americano', 'tiramisu croissant']","[2.0, 3.0, 1.0]",Completed
2023-07-14 11:44:00,Sun,26300.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'cacao deep', 'vanilla latte']","[1.0, 2.0, 2.0, 1.0]",Completed
2023-07-14 11:59:00,Sun,19800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'orange pound', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-14 12:59:00,Sun,18300.0,Dongmyeon,"['angbutter', 'cacao deep', 'orange pound']","[1.0, 1.0, 1.0]",Completed
2023-07-14 13:05:00,Sun,15600.0,Dongmyeon,"['angbutter', 'tiramisu croissant']","[2.0, 1.0]",Completed
2023-07-14 14:06:00,Sun,23600.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'cacao deep', 'orange pound']","[2.0, 1.0, 1.0, 1.0]",Completed
2023-07-14 14:41:00,Sun,20100.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'vanilla latte']","[2.0, 1.0, 1.0]",Completed
2023-07-14 14:51:00,Sun,25600.0,Dongmyeon,"['angbutter', 'jam', 'caffe latte', 'orange pound']","[2.0, 1.0, 1.0, 1.0]",Completed
2023-07-14 15:02:00,Sun,19800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'orange pound', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-15 11:45:00,Mon,15100.0,Dongmyeon,"['angbutter', 'cacao deep']","[2.0, 1.0]",Completed
2023-07-15 16:21:00,Mon,15800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'lemon ade']","[1.0, 1.0, 1.0]",Completed
2023-07-17 11:47:00,Wed,17800.0,Dongmyeon,"['angbutter', 'plain bread', 'tiramisu croissant']","[1.0, 1.0, 1.0]",Completed
2023-07-17 13:23:00,Wed,14800.0,Dongmyeon,"['angbutter', 'croissant', 'pain au chocolat']","[3.0, 1.0, 1.0]",Completed
2023-07-17 14:16:00,Wed,23400.0,Dongmyeon,"['angbutter', 'jam', 'gateau chocolat', 'orange pound']","[1.0, 2.0, 1.0, 1.0]",Completed
2023-07-17 16:32:00,Wed,18100.0,Dongmyeon,"['angbutter', 'plain bread', 'berry ade']","[1.0, 1.0, 1.0]",Completed
2023-07-19 11:43:00,Fri,14800.0,Dongmyeon,"['angbutter', 'croissant', 'tiramisu croissant', 'pain au chocolat']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-19 12:11:00,Fri,15800.0,Dongmyeon,"['angbutter', 'orange pound', 'berry ade']","[1.0, 1.0, 1.0]",Completed
2023-07-19 12:36:00,Fri,21800.0,Dongmyeon,"['angbutter', 'croissant', 'tiramisu croissant', 'pain au chocolat']","[1.0, 1.0, 2.0, 1.0]",Completed
2023-07-19 12:44:00,Fri,20600.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'orange pound']","[2.0, 1.0, 1.0]",Completed
