datetime,day of week,total,place,product_names,quantities_product,Order status,location,Driver_id
2023-07-11 15:35:00,Thur,23.8,City Centre,"angbutter, americano, tiramisu croissant, vanilla latte","[1.0, 1.0, 3.0, 1.0]",Completed,"37.88917989435157, 127.84390605671585",3
2023-07-11 16:10:00,Thur,15.8,City Centre,"angbutter, tiramisu croissant, orange pound","[1.0, 1.0, 1.0]",Completed,"37.88909974130292, 127.84483367938215",5
2023-07-12 11:49:00,Fri,58.0,City Centre,tiramisu croissant,[14.0],Completed,"37.88978528247839, 127.8451651136379",2
2023-07-13 13:19:00,Sat,14.8,City Centre,"angbutter, plain bread, vanilla latte","[1.0, 1.0, 1.0]",Completed,"37.89004470822323, 127.84487638805663",3
2023-07-13 13:22:00,Sat,15.6,City Centre,"angbutter, tiramisu croissant","[2.0, 1.0]",Completed,"37.88845354821127, 127.84540918342184",4
2023-07-13 14:54:00,Sat,15.8,City Centre,"angbutter, milk tea, vanilla latte","[1.0, 1.0, 1.0]",Completed,"37.88921320276594, 127.84432454877648",4
2023-07-13 15:08:00,Sat,15.8,City Centre,"angbutter, orange pound, vanilla latte","[1.0, 1.0, 1.0]",Completed,"37.888308012093916, 127.84457760895253",2
2023-07-13 15:09:00,Sat,14.0,City Centre,"tiramisu croissant, cacao deep","[2.0, 1.0]",Completed,"37.889243552698574, 127.84418229095805",3
2023-07-13 15:23:00,Sat,19.1,City Centre,"angbutter, plain bread, tiramisu croissant","[2.0, 1.0, 1.0]",Completed,"37.88921360310086, 127.84557511991666",2
2023-07-13 16:32:00,Sat,22.3,City Centre,"angbutter, plain bread, tiramisu croissant, cacao deep","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88828294296418, 127.84382767600674",1
2023-07-14 11:08:00,Sun,15.3,City Centre,"angbutter, tiramisu croissant, vanilla latte","[1.0, 1.0, 1.0]",Completed,"37.88852866838953, 127.84433952453547",1
2023-07-14 11:15:00,Sun,27.6,City Centre,"angbutter, americano, tiramisu croissant","[2.0, 3.0, 1.0]",Completed,"37.888641878747585, 127.84530741485993",1
2023-07-14 11:44:00,Sun,26.3,City Centre,"angbutter, tiramisu croissant, cacao deep, vanilla latte","[1.0, 2.0, 2.0, 1.0]",Completed,"37.89003173775342, 127.84528156395073",1
2023-07-14 11:59:00,Sun,19.8,City Centre,"angbutter, tiramisu croissant, orange pound, vanilla latte","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88912686564, 127.84490057358258",1
2023-07-14 12:59:00,Sun,18.3,City Centre,"angbutter, cacao deep, orange pound","[1.0, 1.0, 1.0]",Completed,"37.88818625374192, 127.84546696228676",1
2023-07-14 13:05:00,Sun,15.6,City Centre,"angbutter, tiramisu croissant","[2.0, 1.0]",Completed,"37.88990757284758, 127.84505400799334",2
2023-07-14 14:06:00,Sun,23.6,City Centre,"angbutter, tiramisu croissant, cacao deep, orange pound","[2.0, 1.0, 1.0, 1.0]",Completed,"37.889545239682164, 127.84363344276304",4
2023-07-14 14:41:00,Sun,20.1,City Centre,"angbutter, tiramisu croissant, vanilla latte","[2.0, 1.0, 1.0]",Completed,"37.888300018486014, 127.84478542352068",2
2023-07-14 14:51:00,Sun,25.6,City Centre,"angbutter, jam, caffe latte, orange pound","[2.0, 1.0, 1.0, 1.0]",Completed,"37.8882960498995, 127.84519787231474",2
2023-07-14 15:02:00,Sun,19.8,City Centre,"angbutter, tiramisu croissant, orange pound, vanilla latte","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88965944738111, 127.84550792197473",4
2023-07-15 11:45:00,Mon,15.1,City Centre,"angbutter, cacao deep","[2.0, 1.0]",Completed,"37.88902448514235, 127.84503873097172",4
2023-07-15 16:21:00,Mon,15.8,City Centre,"angbutter, tiramisu croissant, lemon ade","[1.0, 1.0, 1.0]",Completed,"37.88920161548631, 127.84383721426849",2
2023-07-17 11:47:00,Wed,17.8,City Centre,"angbutter, plain bread, tiramisu croissant","[1.0, 1.0, 1.0]",Completed,"37.88883183573133, 127.84399953348633",3
2023-07-17 13:23:00,Wed,14.8,City Centre,"angbutter, croissant, pain au chocolat","[3.0, 1.0, 1.0]",Completed,"37.8894515090504, 127.84549968127645",4
2023-07-17 14:16:00,Wed,23.4,City Centre,"angbutter, jam, gateau chocolat, orange pound","[1.0, 2.0, 1.0, 1.0]",Completed,"37.88818799782806, 127.8439547363203",2
2023-07-17 16:32:00,Wed,18.1,City Centre,"angbutter, plain bread, berry ade","[1.0, 1.0, 1.0]",Completed,"37.88971101220395, 127.84548673239256",5
2023-07-19 11:43:00,Fri,14.8,City Centre,"angbutter, croissant, tiramisu croissant, pain au chocolat","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88965548992024, 127.8444075106334",3
2023-07-19 12:11:00,Fri,15.8,City Centre,"angbutter, orange pound, berry ade","[1.0, 1.0, 1.0]",Completed,"37.88952648697388, 127.84431105629353",4
2023-07-19 12:36:00,Fri,21.8,City Centre,"angbutter, croissant, tiramisu croissant, pain au chocolat","[1.0, 1.0, 2.0, 1.0]",Completed,"37.88859614016646, 127.84448251381498",1
2023-07-19 12:44:00,Fri,20.6,City Centre,"angbutter, tiramisu croissant, orange pound","[2.0, 1.0, 1.0]",Completed,"37.88892413423269, 127.84481627062809",5
2023-07-19 13:35:00,Fri,14.8,City Centre,"angbutter, croissant, tiramisu croissant","[1.0, 1.0, 1.0]",Completed,"37.88930688102073, 127.84499780547219",4
2023-07-19 13:50:00,Fri,15.1,City Centre,"angbutter, pain au chocolat","[2.0, 1.0]",Completed,"37.88915374057595, 127.84385175203936",2
2023-07-19 14:12:00,Fri,58.0,City Centre,croissant,[16.0],Completed,"37.88916522279874, 127.84442819550992",3
2023-07-19 15:33:00,Fri,35.9,City Centre,"angbutter, croissant, tiramisu croissant","[3.0, 3.0, 2.0]",Completed,"37.88929188952687, 127.84387990088483",1
2023-07-20 11:19:00,Sat,15.8,City Centre,"angbutter, milk tea, orange pound","[1.0, 1.0, 1.0]",Completed,"37.88938391927231, 127.84461058736763",3
2023-07-20 11:35:00,Sat,18.8,City Centre,"angbutter, americano, croissant, caffe latte","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88896572468647, 127.8443535085381",3
2023-07-20 11:40:00,Sat,22.8,City Centre,"angbutter, jam, tiramisu croissant, pain au chocolat, gateau chocolat, tiramisu","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.88856555738502, 127.84360234208341",1
2023-07-20 11:44:00,Sat,16.4,City Centre,angbutter,[3.0],Completed,"37.88946645880576, 127.84523907189869",3
2023-07-20 12:08:00,Sat,15.8,City Centre,"angbutter, pandoro, tiramisu","[1.0, 1.0, 1.0]",Completed,"37.88899232496778, 127.84368454305731",4
2023-07-20 12:13:00,Sat,26.3,City Centre,"angbutter, caffe latte, pain au chocolat, orange pound, wiener, tiramisu","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.888458470878874, 127.84543569369228",5
2023-07-20 12:31:00,Sat,14.8,City Centre,"angbutter, caffe latte, pain au chocolat","[1.0, 1.0, 1.0]",Completed,"37.888120952263314, 127.8436077868035",3
2023-07-20 12:55:00,Sat,15.8,City Centre,"angbutter, tiramisu croissant, orange pound","[1.0, 1.0, 1.0]",Completed,"37.888789046016925, 127.84395928952596",4
2023-07-20 13:19:00,Sat,20.5,City Centre,"croissant, tiramisu croissant, pain au chocolat","[2.0, 1.0, 2.0]",Completed,"37.88812409512913, 127.84536761982652",5
2023-07-20 13:44:00,Sat,18.6,City Centre,"angbutter, croissant, pain au chocolat","[2.0, 1.0, 1.0]",Completed,"37.88956756552479, 127.84459925904974",1
2023-07-20 13:56:00,Sat,17.8,City Centre,"angbutter, americano, croissant, pain au chocolat","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88926979561469, 127.84371862044063",3
2023-07-21 11:07:00,Sun,18.6,City Centre,"angbutter, croissant, gateau chocolat, tiramisu","[1.0, 1.0, 1.0, 1.0]",Completed,"37.889113966842174, 127.84456841038481",3
